battery_id,test_cycle,nominal_voltage_V,internal_resistance_mOhm,capacity_mAh,SOH_percent,temperature_delivery_C,self_discharge_rate_percent_per_month,qc_status
BAT_0002,26,3.644,27.31,2466.26,99.61,17.04,1.41,PASS
BAT_0002,27,3.617,34.18,2374.29,96.61,37.67,2.93,WARNING
BAT_0002,28,3.664,21.87,2388.06,97.27,29.36,1.21,PASS
BAT_0002,29,3.695,26.97,2464.81,99.58,33.47,1.85,PASS
BAT_0002,30,3.758,24.95,2487.28,97.38,16.59,1.91,PASS
BAT_0002,31,3.621,32.35,2307.17,94.23,40.19,2.9,WARNING
BAT_0002,32,3.669,24.72,2527.2,97.86,16.44,1.77,PASS
BAT_0002,33,3.754,26.4,2484.02,98.71,27.18,1.84,PASS
BAT_0002,34,3.602,31.96,2353.78,94.7,42.3,2.85,WARNING
BAT_0002,35,3.711,28.07,2423.23,97.99,34.84,1.63,PASS
BAT_0002,36,3.658,23.38,2528.09,98.08,18.44,1.01,PASS
BAT_0002,37,3.645,22.27,2406.35,99.39,18.8,1.74,PASS
BAT_0002,38,3.65,25.5,2527.41,98.79,15.03,1.93,PASS
BAT_0002,39,3.748,22.31,2545.81,98.39,19.83,1.59,PASS
BAT_0002,40,3.72,27.78,2536.49,98.99,22.35,1.42,PASS
BAT_0002,41,3.663,20.87,2493.74,99.37,21.33,1.63,PASS
BAT_0002,42,3.742,25.05,2512.46,97.02,20.13,1.55,PASS
BAT_0002,43,3.685,24.64,2464.06,98.49,25.22,1.62,PASS
BAT_0002,44,3.65,24.63,2401.16,99.87,19.45,1.96,PASS
BAT_0002,45,3.637,28.26,2463.19,97.21,21.31,2.0,PASS
BAT_0002,46,3.685,27.73,2419.47,98.7,22.56,0.89,PASS
BAT_0002,47,3.6,31.0,2307.8,93.68,39.79,2.98,WARNING
BAT_0002,48,3.727,27.91,2443.19,97.86,31.16,0.95,PASS
BAT_0002,49,3.616,31.41,2308.24,94.84,40.71,2.29,WARNING
BAT_0002,50,3.644,22.69,2529.22,99.07,25.31,0.86,PASS
BAT_0003,1,3.77,22.39,2424.87,97.82,21.95,1.69,PASS
BAT_0003,2,3.748,28.26,2506.63,97.84,21.15,1.18,PASS
BAT_0003,3,3.62,33.18,2364.78,95.48,36.8,2.49,WARNING
BAT_0003,4,3.699,25.77,2414.21,99.69,22.25,1.06,PASS
BAT_0003,5,3.455,49.32,1850.8,85.67,54.5,5.39,FAIL
BAT_0003,6,3.792,42.34,2258.47,76.6,5.08,5.99,FAIL
BAT_0003,7,3.622,34.54,2314.36,96.91,39.93,2.93,WARNING
BAT_0003,8,3.932,53.27,2122.68,73.86,48.96,3.96,FAIL
BAT_0003,9,3.667,21.84,2389.29,99.6,20.58,1.55,PASS
BAT_0003,10,3.703,26.36,2500.46,98.79,16.31,1.35,PASS
BAT_0003,11,3.638,29.69,2398.21,98.35,15.81,0.99,PASS
BAT_0003,12,3.664,29.69,2421.64,97.86,34.7,1.53,PASS
BAT_0003,13,3.671,26.23,2504.25,99.12,29.56,1.08,PASS
BAT_0003,14,3.696,29.67,2507.24,97.18,16.43,1.26,PASS
BAT_0003,15,3.746,29.27,2470.84,99.29,27.6,1.31,PASS
BAT_0003,16,3.609,31.75,2355.62,93.54,43.69,2.37,WARNING
BAT_0003,17,3.655,21.01,2438.79,99.82,33.79,1.11,PASS
BAT_0003,18,3.711,27.97,2424.38,99.08,27.23,1.46,PASS
BAT_0003,19,3.601,32.33,2314.36,95.66,41.47,2.51,WARNING
BAT_0003,20,3.79,46.7,2181.12,76.9,3.33,3.69,FAIL
BAT_0003,21,3.734,24.92,2446.67,97.24,33.21,1.94,PASS
BAT_0003,22,3.712,20.7,2428.5,97.66,23.81,0.9,PASS
BAT_0003,23,3.74,22.01,2489.07,98.88,30.59,1.2,PASS
BAT_0003,24,3.613,33.73,2329.76,95.44,36.32,2.38,WARNING
BAT_0003,25,3.716,25.41,2446.37,97.86,35.0,1.83,PASS
BAT_0003,26,3.654,27.42,2506.21,98.64,17.62,1.65,PASS
BAT_0003,27,3.765,29.56,2539.58,99.45,21.52,1.06,PASS
BAT_0003,28,3.708,26.92,2477.34,98.73,18.51,1.36,PASS
BAT_0003,29,3.629,34.02,2347.55,93.21,42.06,2.8,WARNING
BAT_0003,30,3.615,34.99,2359.03,95.27,40.34,2.61,WARNING
BAT_0003,31,3.678,26.76,2448.85,98.22,28.94,1.12,PASS
BAT_0003,32,3.746,22.58,2395.15,98.56,30.11,1.81,PASS
BAT_0003,33,3.743,23.85,2422.13,97.51,21.07,1.43,PASS
BAT_0003,34,3.654,23.51,2385.27,98.11,34.46,1.28,PASS
BAT_0003,35,3.716,27.48,2409.79,97.97,21.86,1.25,PASS
BAT_0003,36,3.697,28.99,2492.8,98.42,28.49,1.59,PASS
BAT_0003,37,3.762,28.62,2391.2,99.3,26.12,1.04,PASS
BAT_0003,38,3.64,24.37,2542.89,97.12,23.59,1.57,PASS
BAT_0003,39,3.796,53.71,1861.28,85.9,4.48,4.66,FAIL
BAT_0003,40,3.712,29.73,2541.65,98.69,28.03,0.98,PASS
BAT_0003,41,3.616,31.79,2355.6,95.4,39.93,2.32,WARNING
BAT_0003,42,3.694,25.42,2483.86,99.32,15.04,1.1,PASS
BAT_0003,43,3.706,20.99,2412.92,99.23,24.79,0.92,PASS
BAT_0003,44,3.651,25.35,2490.68,98.33,28.01,1.44,PASS
BAT_0003,45,3.745,22.59,2501.61,98.34,20.8,1.52,PASS
BAT_0003,46,3.674,26.08,2498.83,98.4,28.54,1.83,PASS
BAT_0003,47,3.609,32.39,2328.89,95.93,41.37,2.5,WARNING
BAT_0003,48,3.726,20.13,2449.49,99.03,19.55,1.8,PASS
BAT_0003,49,3.601,31.0,2348.74,94.17,37.2,2.33,WARNING
BAT_0003,50,3.744,29.44,2437.5,97.14,17.62,1.71,PASS
BAT_0004,1,3.643,25.6,2548.68,98.04,19.52,2.0,PASS
BAT_0004,2,3.664,20.41,2451.54,97.49,24.88,1.11,PASS
BAT_0004,3,3.627,34.12,2324.3,96.13,35.32,2.84,WARNING
BAT_0004,4,3.665,24.83,2418.15,99.24,27.29,1.72,PASS
BAT_0004,5,3.63,31.65,2351.13,94.31,39.18,2.9,WARNING
BAT_0004,6,3.632,29.91,2405.67,97.79,24.81,1.99,PASS
BAT_0004,7,3.665,21.48,2521.88,99.19,34.49,1.35,PASS
BAT_0004,8,3.668,23.68,2437.75,99.2,23.33,1.95,PASS
BAT_0004,9,3.763,23.57,2396.29,98.34,29.33,1.01,PASS
BAT_0004,10,3.679,29.63,2516.52,99.18,31.17,1.89,PASS
BAT_0004,11,3.874,51.83,2039.27,77.4,0.69,3.71,FAIL
BAT_0004,12,3.706,21.06,2385.0,97.53,18.56,1.42,PASS
BAT_0004,13,3.603,32.61,2352.85,96.95,38.59,2.13,WARNING
BAT_0004,14,3.662,26.73,2490.89,99.57,24.53,1.1,PASS
BAT_0004,15,3.747,26.52,2376.37,98.58,26.52,1.4,PASS
BAT_0004,16,3.687,25.47,2529.63,98.67,29.93,0.94,PASS
BAT_0004,17,3.723,22.33,2376.79,99.2,24.57,1.36,PASS
BAT_0004,18,3.647,25.18,2547.94,98.55,17.98,1.07,PASS
BAT_0004,19,3.616,34.19,2348.89,93.85,44.73,2.65,WARNING
BAT_0004,20,3.684,20.25,2546.62,98.01,34.74,1.67,PASS
BAT_0004,21,3.718,28.24,2418.68,97.46,20.41,1.4,PASS
BAT_0004,22,3.753,22.47,2508.18,97.21,30.52,1.5,PASS
BAT_0004,23,3.554,36.18,2081.67,78.37,47.09,4.02,FAIL
BAT_0004,24,3.761,26.97,2459.96,97.43,20.58,0.85,PASS
BAT_0004,25,3.327,46.4,2141.72,87.04,8.53,5.99,FAIL
BAT_0004,26,3.754,26.81,2403.0,98.69,22.75,1.51,PASS
BAT_0004,27,3.76,28.43,2418.44,97.17,27.15,1.33,PASS
BAT_0004,28,3.679,20.32,2504.99,99.56,30.29,1.71,PASS
BAT_0004,29,3.645,28.85,2487.43,98.79,21.43,1.76,PASS
BAT_0004,30,3.38,48.52,2144.94,84.74,5.21,5.53,FAIL
BAT_0004,31,3.631,27.38,2399.03,97.75,26.6,1.99,PASS
BAT_0004,32,3.664,28.56,2386.92,98.13,24.74,1.41,PASS
BAT_0004,33,3.601,31.27,2332.68,95.64,37.54,2.77,WARNING
BAT_0004,34,3.625,31.64,2370.51,94.11,42.15,2.95,WARNING
BAT_0004,35,3.72,28.06,2402.97,98.47,24.95,1.59,PASS
BAT_0004,36,3.62,31.99,2318.72,95.38,36.25,2.61,WARNING
BAT_0004,37,3.757,28.8,2549.85,97.04,17.43,1.26,PASS
BAT_0004,38,3.584,38.79,2063.85,78.28,56.87,3.51,FAIL
BAT_0004,39,3.672,24.93,2448.54,97.02,16.66,1.05,PASS
BAT_0004,40,3.706,28.62,2487.48,98.03,21.95,1.78,PASS
BAT_0004,41,3.613,33.13,2352.89,96.49,35.18,2.77,WARNING
BAT_0004,42,3.607,32.12,2322.62,94.57,36.47,2.54,WARNING
BAT_0004,43,3.604,34.72,2319.01,94.23,41.77,2.67,WARNING
BAT_0004,44,3.694,26.63,2519.39,97.45,33.21,0.82,PASS
BAT_0004,45,3.686,25.55,2535.47,98.96,33.05,0.93,PASS
BAT_0004,46,3.661,29.49,2519.55,98.32,22.17,1.11,PASS
BAT_0004,47,3.694,25.83,2491.76,98.42,30.56,1.76,PASS
BAT_0004,48,3.765,23.75,2448.49,97.94,20.78,1.66,PASS
BAT_0004,49,3.654,26.46,2439.88,99.85,25.32,1.21,PASS
BAT_0004,50,3.695,28.13,2477.37,99.14,21.85,1.93,PASS
BAT_0005,1,3.656,26.82,2457.6,99.84,25.88,1.3,PASS
BAT_0005,2,3.737,20.03,2428.55,99.19,27.81,0.81,PASS
BAT_0005,3,3.617,33.95,2374.55,95.13,43.46,2.42,WARNING
BAT_0005,4,3.665,20.44,2435.99,98.62,30.65,1.01,PASS
BAT_0005,5,3.654,27.04,2484.55,99.76,27.5,1.77,PASS
BAT_0005,6,3.66,28.96,2538.72,98.07,21.62,1.51,PASS
BAT_0005,7,3.655,20.36,2507.94,99.26,27.52,1.47,PASS
BAT_0005,8,3.666,20.04,2464.68,99.04,17.4,1.84,PASS
BAT_0005,9,3.69,21.57,2485.98,97.57,29.68,1.08,PASS
BAT_0005,10,3.601,33.99,2371.31,95.52,40.49,2.82,WARNING
BAT_0005,11,3.749,29.28,2541.84,97.97,26.72,1.46,PASS
BAT_0005,12,3.629,31.49,2369.3,93.64,43.88,2.49,WARNING
BAT_0005,13,3.339,41.14,1827.59,91.1,48.57,4.74,FAIL
BAT_0005,14,3.632,20.68,2412.66,97.35,30.95,1.85,PASS
BAT_0005,15,3.704,23.68,2529.43,97.41,25.39,0.87,PASS
BAT_0005,16,3.754,23.09,2480.4,98.17,17.22,1.1,PASS
BAT_0005,17,3.655,22.86,2488.95,97.06,34.98,1.13,PASS
BAT_0005,18,3.742,20.07,2534.27,98.38,28.29,1.91,PASS
BAT_0005,19,3.602,33.13,2318.49,93.13,41.94,2.72,WARNING
BAT_0005,20,3.673,22.58,2413.71,99.66,33.89,1.28,PASS
BAT_0005,21,3.728,22.91,2419.62,97.19,23.61,1.33,PASS
BAT_0005,22,3.73,28.99,2455.89,99.97,23.91,0.85,PASS
BAT_0005,23,3.63,20.39,2457.23,99.46,15.49,0.82,PASS
BAT_0005,24,3.527,38.45,2163.24,74.81,46.35,3.97,FAIL
BAT_0005,25,3.736,29.36,2523.57,98.13,22.18,1.93,PASS
BAT_0005,26,3.733,20.14,2393.08,99.25,22.79,1.97,PASS
BAT_0005,27,3.618,32.63,2312.03,93.58,42.98,2.64,WARNING
BAT_0005,28,3.697,21.88,2496.21,99.14,24.38,1.9,PASS
BAT_0005,29,3.692,29.86,2470.52,98.46,23.01,1.67,PASS
BAT_0005,30,3.736,22.31,2388.39,98.09,24.74,0.85,PASS
BAT_0005,31,3.759,29.75,2539.82,98.7,22.04,1.5,PASS
BAT_0005,32,3.629,33.49,2318.23,96.21,39.08,2.46,WARNING
BAT_0005,33,3.625,34.47,2300.6,96.9,38.67,2.91,WARNING
BAT_0005,34,3.729,23.86,2397.34,99.09,32.43,1.55,PASS
BAT_0005,35,3.651,29.38,2385.57,98.99,21.19,1.88,PASS
BAT_0005,36,3.881,53.14,2268.24,74.63,52.47,5.97,FAIL
BAT_0005,37,3.732,22.78,2519.5,99.72,15.03,1.69,PASS
BAT_0005,38,3.685,25.04,2541.45,97.9,18.18,1.98,PASS
BAT_0005,39,3.614,31.84,2313.65,93.63,36.73,2.59,WARNING
BAT_0005,40,3.475,36.09,2177.73,90.82,7.98,4.06,FAIL
BAT_0005,41,3.62,33.46,2324.34,94.94,42.12,2.42,WARNING
BAT_0005,42,3.722,29.3,2485.62,99.69,19.75,1.37,PASS
BAT_0005,43,3.331,48.14,1948.65,82.97,58.04,3.13,FAIL
BAT_0005,44,3.739,23.53,2417.75,97.26,28.27,1.38,PASS
BAT_0005,45,3.607,34.93,2308.4,93.55,38.39,2.64,WARNING
BAT_0005,46,3.722,21.05,2464.84,97.44,15.55,1.24,PASS
BAT_0005,47,3.718,22.74,2519.07,99.57,33.56,1.35,PASS
BAT_0005,48,3.686,24.29,2426.66,97.47,30.5,1.72,PASS
BAT_0005,49,3.718,26.97,2429.79,98.87,27.33,1.73,PASS
BAT_0005,50,3.686,23.02,2415.78,99.38,20.2,1.09,PASS
BAT_0006,1,3.722,20.5,2392.35,99.02,16.1,1.87,PASS
BAT_0006,2,3.764,29.98,2480.06,98.83,28.54,1.36,PASS
BAT_0006,3,3.691,25.33,2453.97,97.9,18.22,0.94,PASS
BAT_0006,4,3.644,26.42,2517.17,98.66,25.74,1.93,PASS
BAT_0006,5,3.756,22.79,2446.66,97.74,26.08,0.88,PASS
BAT_0006,6,3.619,31.76,2354.1,93.93,37.42,2.41,WARNING
BAT_0006,7,3.685,21.89,2418.98,97.36,28.95,1.75,PASS
BAT_0006,8,3.601,32.94,2349.95,93.22,42.92,2.37,WARNING
BAT_0006,9,3.627,32.91,2308.78,95.24,39.2,2.52,WARNING
BAT_0006,10,3.694,26.74,2375.3,99.69,18.18,1.25,PASS
BAT_0006,11,3.656,28.24,2503.66,99.06,22.18,1.77,PASS
BAT_0006,12,3.703,20.93,2482.33,99.28,15.35,1.71,PASS
BAT_0006,13,3.757,29.64,2424.09,99.41,24.73,1.28,PASS
BAT_0006,14,3.639,29.15,2409.78,99.72,25.04,1.94,PASS
BAT_0006,15,3.662,21.86,2506.49,97.79,23.76,1.33,PASS
BAT_0006,16,3.879,54.31,1996.19,80.12,0.4,5.53,FAIL
BAT_0006,17,3.692,25.4,2530.22,98.6,19.52,0.94,PASS
BAT_0006,18,3.402,51.76,2175.87,84.81,2.36,3.28,FAIL
BAT_0006,19,3.314,39.65,1939.19,79.93,2.81,4.66,FAIL
BAT_0006,20,3.729,20.84,2541.17,99.68,22.49,1.16,PASS
BAT_0006,21,3.764,21.35,2469.08,98.73,29.11,1.5,PASS
BAT_0006,22,3.61,34.46,2324.8,94.03,36.33,2.45,WARNING
BAT_0006,23,3.672,21.99,2493.64,98.77,15.66,0.88,PASS
BAT_0006,24,3.713,20.1,2456.91,98.5,19.47,0.82,PASS
BAT_0006,25,3.708,21.76,2416.05,98.31,16.75,1.81,PASS
BAT_0006,26,3.626,30.39,2323.15,95.13,36.04,2.09,WARNING
BAT_0006,27,3.758,29.21,2405.48,99.28,26.95,1.96,PASS
BAT_0006,28,3.716,25.47,2462.01,97.68,28.38,1.7,PASS
BAT_0006,29,3.421,50.71,2126.71,79.07,8.99,5.17,FAIL
BAT_0006,30,3.637,26.56,2485.96,99.7,15.19,1.37,PASS
BAT_0006,31,3.759,20.31,2503.55,98.64,23.47,1.57,PASS
BAT_0006,32,3.64,28.99,2393.65,98.81,31.98,1.17,PASS
BAT_0006,33,3.634,29.75,2539.36,99.66,20.18,1.63,PASS
BAT_0006,34,3.612,30.52,2353.31,93.62,37.66,2.51,WARNING
BAT_0006,35,3.696,29.17,2465.0,98.33,23.32,1.63,PASS
BAT_0006,36,3.715,21.01,2530.73,98.16,16.44,1.86,PASS
BAT_0006,37,3.62,33.38,2344.61,95.67,38.17,2.34,WARNING
BAT_0006,38,3.603,30.66,2341.51,96.46,37.36,2.86,WARNING
BAT_0006,39,3.737,27.58,2449.29,98.74,33.37,0.96,PASS
BAT_0006,40,3.735,27.82,2452.67,97.14,24.64,1.24,PASS
BAT_0006,41,3.984,39.85,2024.66,91.33,58.0,4.11,FAIL
BAT_0006,42,3.613,34.34,2360.22,94.3,41.24,2.04,WARNING
BAT_0006,43,3.703,21.97,2527.75,100.0,18.48,1.88,PASS
BAT_0006,44,3.67,26.29,2469.5,99.01,19.53,1.89,PASS
BAT_0006,45,3.738,27.66,2548.53,98.63,26.53,1.64,PASS
BAT_0006,46,3.682,22.8,2381.09,97.5,28.02,1.17,PASS
BAT_0006,47,3.622,33.51,2307.21,96.32,44.86,2.36,WARNING
BAT_0006,48,3.714,23.12,2499.53,98.36,29.78,1.16,PASS
BAT_0006,49,3.638,21.74,2539.7,98.61,27.78,1.47,PASS
BAT_0006,50,3.761,24.6,2518.49,97.77,27.05,1.64,PASS
BAT_0007,1,3.68,23.12,2543.13,98.5,17.66,1.34,PASS
BAT_0007,2,3.621,33.07,2328.25,96.6,44.11,2.1,WARNING
BAT_0007,3,3.684,28.03,2513.26,98.38,31.23,1.56,PASS
BAT_0007,4,3.676,24.89,2443.99,99.65,27.7,0.87,PASS
BAT_0007,5,3.625,30.54,2330.07,96.4,36.16,2.58,WARNING
BAT_0007,6,3.726,20.08,2438.47,98.58,25.55,0.96,PASS
BAT_0007,7,3.625,34.96,2300.31,94.01,40.33,2.7,WARNING
BAT_0007,8,3.683,24.6,2466.68,99.01,21.14,1.31,PASS
BAT_0007,9,3.623,30.76,2344.03,95.37,38.56,2.96,WARNING
BAT_0007,10,3.624,34.05,2341.46,93.23,38.84,2.52,WARNING
BAT_0007,11,3.617,32.71,2354.42,93.42,35.83,2.36,WARNING
BAT_0007,12,3.77,24.47,2526.99,98.03,18.15,1.24,PASS
BAT_0007,13,3.759,25.18,2482.69,97.62,30.69,1.66,PASS
BAT_0007,14,3.745,26.11,2418.94,97.54,24.93,1.06,PASS
BAT_0007,15,3.665,21.02,2500.21,97.27,22.15,1.43,PASS
BAT_0007,16,3.893,52.23,1922.21,74.3,7.95,3.31,FAIL
BAT_0007,17,3.652,24.94,2524.7,98.87,26.62,0.84,PASS
BAT_0007,18,3.674,20.23,2405.75,99.46,29.7,1.15,PASS
BAT_0007,19,3.481,53.63,2093.34,90.79,55.14,4.18,FAIL
BAT_0007,20,3.646,23.84,2378.47,97.8,21.79,1.91,PASS
BAT_0007,21,3.523,49.22,1836.74,74.75,7.86,4.36,FAIL
BAT_0007,22,3.757,25.97,2425.88,98.03,28.39,1.31,PASS
BAT_0007,23,3.764,28.64,2521.93,97.84,21.11,1.82,PASS
BAT_0007,24,3.681,27.21,2411.06,97.55,32.75,1.35,PASS
BAT_0007,25,3.735,22.14,2511.13,98.73,33.42,0.8,PASS
BAT_0007,26,3.697,23.15,2540.65,98.97,24.87,1.79,PASS
BAT_0007,27,3.603,30.25,2308.39,96.28,39.05,2.36,WARNING
BAT_0007,28,3.703,21.22,2448.38,98.77,28.73,1.33,PASS
BAT_0007,29,3.64,26.67,2423.8,99.82,28.3,1.1,PASS
BAT_0007,30,3.766,21.26,2411.54,98.26,16.14,1.61,PASS
BAT_0007,31,3.717,22.36,2385.94,98.5,29.56,1.95,PASS
BAT_0007,32,3.687,23.73,2444.78,99.17,18.25,1.84,PASS
BAT_0007,33,3.714,24.08,2516.99,98.71,31.99,1.99,PASS
BAT_0007,34,3.667,28.46,2473.64,99.05,26.54,1.48,PASS
BAT_0007,35,3.7,29.18,2457.1,98.2,21.1,1.23,PASS
BAT_0007,36,3.711,21.3,2402.54,98.59,16.32,1.05,PASS
BAT_0007,37,3.671,22.8,2540.96,98.66,25.17,0.91,PASS
BAT_0007,38,3.61,33.68,2323.49,95.74,37.7,2.52,WARNING
BAT_0007,39,3.672,26.91,2520.51,99.27,15.95,1.02,PASS
BAT_0007,40,3.682,25.42,2431.04,99.37,17.53,1.12,PASS
BAT_0007,41,3.68,26.04,2380.2,98.09,28.98,0.89,PASS
BAT_0007,42,3.616,31.83,2368.08,96.07,36.88,2.24,WARNING
BAT_0007,43,3.664,23.27,2387.94,99.56,30.17,1.24,PASS
BAT_0007,44,3.642,22.66,2427.9,97.91,28.31,1.66,PASS
BAT_0007,45,3.604,31.85,2360.62,94.74,39.81,2.65,WARNING
BAT_0007,46,3.642,21.52,2417.87,98.89,33.76,1.22,PASS
BAT_0007,47,3.413,40.54,2275.7,89.84,46.52,4.6,FAIL
BAT_0007,48,3.753,23.27,2403.07,98.09,33.24,1.75,PASS
BAT_0007,49,3.974,46.85,1805.91,73.58,51.43,3.41,FAIL
BAT_0007,50,3.652,27.46,2445.99,98.75,28.12,1.03,PASS
BAT_0008,1,3.656,25.3,2467.57,99.31,23.06,1.14,PASS
BAT_0008,2,3.668,24.27,2409.99,99.12,20.55,1.5,PASS
BAT_0008,3,3.726,24.21,2501.73,99.64,26.28,1.71,PASS
BAT_0008,4,3.601,34.69,2346.97,96.88,37.99,2.14,WARNING
BAT_0008,5,3.607,34.12,2300.62,95.33,44.69,2.21,WARNING
BAT_0008,6,3.74,24.83,2491.76,99.07,34.63,1.01,PASS
BAT_0008,7,3.824,50.02,1997.16,87.94,56.84,5.29,FAIL
BAT_0008,8,3.606,31.4,2349.84,95.67,36.1,2.31,WARNING
BAT_0008,9,3.686,25.19,2423.0,98.55,25.7,1.71,PASS
BAT_0008,10,3.643,24.35,2531.96,99.88,20.19,1.09,PASS
BAT_0008,11,3.381,39.07,2045.67,74.93,4.42,5.57,FAIL
