motor_id,test_cycle,rated_power_W,no_load_rpm,phase_winding_resistance_ohm,phase_imbalance_percent,torque_output_Nm,torque_ripple_percent,hall_sensor_voltage_V,hall_signal_integrity_percent,efficiency_percent,qc_status
MTR_0001,22,1505.4,3287.86,0.274,2.93,4.97,1.13,4.97,98.23,89.3,PASS
MTR_0001,23,1457.86,3243.49,0.28,0.86,4.09,1.67,4.89,97.43,85.74,PASS
MTR_0001,24,1359.59,3357.33,0.385,4.4,3.91,5.67,4.7,96.85,83.16,WARNING
MTR_0001,25,1427.66,3062.98,0.252,1.5,4.71,4.61,4.76,99.92,91.67,PASS
MTR_0001,26,1449.72,3271.36,0.259,1.65,4.28,2.3,4.95,97.13,93.23,PASS
MTR_0001,27,949.93,2330.71,0.404,7.22,3.25,9.97,5.7,60.85,77.14,FAIL
MTR_0001,28,1093.91,2297.24,0.523,8.24,1.68,9.13,6.1,62.13,79.97,FAIL
MTR_0001,29,1473.06,3166.42,0.307,3.28,4.84,4.44,5.02,97.74,92.55,PASS
MTR_0001,30,1382.24,3192.24,0.298,1.65,4.32,2.92,5.12,98.56,87.18,PASS
MTR_0001,31,1362.64,3028.47,0.358,3.67,3.93,5.55,4.68,96.61,83.92,WARNING
MTR_0001,32,1438.08,3159.26,0.256,2.63,4.74,2.3,5.1,97.74,88.92,PASS
MTR_0001,33,1451.1,3212.52,0.264,2.17,4.96,2.65,5.1,97.13,88.36,PASS
MTR_0001,34,1391.13,3272.08,0.298,2.01,4.18,4.89,4.83,99.52,93.4,PASS
MTR_0001,35,1337.16,3392.47,0.371,3.54,4.0,5.05,4.68,94.86,82.8,WARNING
MTR_0001,36,1338.22,3044.32,0.363,4.93,3.89,6.45,5.3,95.36,83.13,WARNING
MTR_0001,37,1519.8,3332.49,0.339,3.37,4.3,2.89,5.1,99.79,88.25,PASS
MTR_0001,38,1427.18,3153.75,0.256,0.64,4.59,3.4,4.9,99.49,87.21,PASS
MTR_0001,39,1731.42,3819.08,0.547,8.27,3.01,13.31,4.21,90.52,66.97,FAIL
MTR_0001,40,1428.74,3326.81,0.329,2.05,4.28,1.23,4.84,97.76,89.98,PASS
MTR_0001,41,1341.88,3382.21,0.352,3.58,4.02,5.01,5.28,96.74,84.24,WARNING
MTR_0001,42,1549.85,3052.37,0.286,1.83,4.79,2.92,5.1,98.17,90.93,PASS
MTR_0001,43,1441.03,3111.04,0.339,3.2,4.35,1.33,5.1,97.54,87.77,PASS
MTR_0001,44,1495.84,3204.0,0.329,2.77,5.13,3.46,5.11,98.14,90.5,PASS
MTR_0001,45,1462.9,3065.3,0.276,3.27,4.08,4.26,5.23,98.19,93.83,PASS
MTR_0001,46,1344.83,3026.05,0.384,4.41,3.89,5.3,4.7,93.28,84.84,WARNING
MTR_0001,47,1450.0,3218.98,0.304,2.2,4.15,2.98,4.83,98.71,91.87,PASS
MTR_0001,48,1511.66,3190.82,0.338,2.18,5.0,4.65,4.81,97.3,91.22,PASS
MTR_0001,49,1387.21,3146.54,0.255,1.76,4.17,1.93,4.98,98.71,86.69,PASS
MTR_0001,50,2145.88,2674.58,0.636,8.12,2.35,8.56,6.28,77.09,53.68,FAIL
MTR_0002,1,1456.97,3263.32,0.276,0.68,4.14,1.31,4.89,98.1,88.98,PASS
MTR_0002,2,1391.99,3347.75,0.251,2.22,4.94,3.98,4.78,97.92,85.34,PASS
MTR_0002,3,1518.09,3158.88,0.283,1.28,4.9,1.71,5.03,97.43,89.24,PASS
MTR_0002,4,1506.82,3062.67,0.341,1.8,4.89,3.06,5.24,98.36,91.04,PASS
MTR_0002,5,1579.34,3129.15,0.26,2.14,4.25,1.4,4.87,97.26,91.07,PASS
MTR_0002,6,1467.1,3153.79,0.259,0.8,4.33,2.82,5.2,99.03,90.24,PASS
MTR_0002,7,989.09,2573.44,0.661,10.56,2.21,8.56,3.94,90.58,59.44,FAIL
MTR_0002,8,1568.41,3204.45,0.314,0.79,4.96,1.5,5.21,98.9,89.98,PASS
MTR_0002,9,1557.54,3234.3,0.316,1.09,4.84,1.79,5.08,99.16,90.56,PASS
MTR_0002,10,1351.87,3378.92,0.35,4.29,4.04,6.92,5.33,95.98,84.44,WARNING
MTR_0002,11,1458.98,3201.1,0.274,0.66,5.04,4.85,4.98,97.34,91.08,PASS
MTR_0002,12,1531.06,3342.71,0.285,3.26,4.27,4.51,5.2,97.2,91.81,PASS
MTR_0002,13,1408.15,3161.64,0.314,0.63,4.77,4.53,4.76,99.2,93.18,PASS
MTR_0002,14,1477.8,3153.31,0.321,1.25,5.12,1.55,5.22,99.49,94.03,PASS
MTR_0002,15,1618.78,2478.05,0.48,6.63,1.98,11.22,6.4,69.01,78.08,FAIL
MTR_0002,16,1105.42,3457.26,0.607,8.22,2.55,10.17,3.53,57.95,58.95,FAIL
MTR_0002,17,1459.08,3118.24,0.288,2.44,4.53,2.18,5.2,99.94,89.98,PASS
MTR_0002,18,1457.16,3346.03,0.297,0.74,4.19,4.98,4.98,99.01,85.27,PASS
MTR_0002,19,1460.65,3080.24,0.3,2.87,5.07,3.38,4.8,97.48,86.77,PASS
MTR_0002,20,1368.16,3355.61,0.383,3.96,4.05,6.0,5.33,93.61,83.88,WARNING
MTR_0002,21,1529.36,3291.33,0.34,0.65,4.41,2.48,4.75,97.03,92.08,PASS
MTR_0002,22,1378.32,3392.24,0.366,4.57,4.0,6.65,5.28,93.89,84.26,WARNING
MTR_0002,23,1375.59,3374.37,0.35,3.99,3.86,5.16,5.26,92.47,84.09,WARNING
MTR_0002,24,1356.45,3378.74,0.383,4.61,3.99,5.43,4.67,92.82,82.45,WARNING
MTR_0002,25,1536.76,3249.26,0.311,1.32,4.42,3.96,4.97,97.27,92.95,PASS
MTR_0002,26,1411.95,3285.12,0.306,3.27,4.76,2.44,4.84,98.31,94.14,PASS
MTR_0002,27,1321.88,3017.32,0.388,4.43,4.04,5.07,4.71,93.97,84.84,WARNING
MTR_0002,28,1343.11,3003.84,0.359,3.94,3.86,6.37,5.28,92.36,82.68,WARNING
MTR_0002,29,1426.5,3140.68,0.293,2.48,4.95,1.85,5.07,99.6,86.25,PASS
MTR_0002,30,1473.26,3131.79,0.303,1.17,4.31,5.0,4.91,97.33,94.89,PASS
MTR_0002,31,1571.65,3124.46,0.254,1.33,4.15,3.56,5.24,98.97,91.04,PASS
MTR_0002,32,1320.53,3013.79,0.348,3.74,3.94,5.81,4.69,94.23,84.45,WARNING
MTR_0002,33,1590.49,3149.47,0.273,3.38,5.14,2.14,5.15,99.08,85.58,PASS
MTR_0002,34,1467.77,3297.2,0.335,0.71,4.93,4.9,5.05,98.91,89.07,PASS
MTR_0002,35,1506.35,3087.97,0.314,0.63,4.24,3.4,5.08,97.01,92.14,PASS
MTR_0002,36,1514.32,3271.51,0.336,1.07,5.02,3.66,5.02,99.39,93.22,PASS
MTR_0002,37,1421.17,3052.53,0.328,0.75,4.68,1.94,4.8,97.73,88.44,PASS
MTR_0002,38,1949.28,2358.91,0.512,8.93,3.03,7.22,5.42,56.74,80.97,FAIL
MTR_0002,39,1512.0,3317.96,0.258,2.5,4.36,1.68,5.24,97.23,91.21,PASS
MTR_0002,40,1580.89,3148.44,0.277,1.82,4.57,1.32,4.87,98.38,93.45,PASS
MTR_0002,41,1404.49,3317.16,0.252,2.0,4.3,1.9,5.14,98.99,92.62,PASS
MTR_0002,42,1408.02,3293.69,0.259,2.35,4.86,4.53,4.77,99.75,89.9,PASS
MTR_0002,43,1522.59,3336.59,0.298,1.02,4.74,4.75,4.98,99.53,85.41,PASS
MTR_0002,44,1345.16,3396.16,0.359,3.82,3.89,5.09,5.34,94.86,83.97,WARNING
MTR_0002,45,1350.42,3385.52,0.361,4.37,4.01,6.17,4.68,96.96,83.67,WARNING
MTR_0002,46,1472.54,3210.49,0.278,0.53,4.33,3.6,5.11,98.38,93.8,PASS
MTR_0002,47,1444.76,3218.97,0.265,1.5,4.97,1.4,5.25,98.05,87.62,PASS
MTR_0002,48,1586.7,3340.69,0.268,1.16,4.78,4.45,4.88,99.81,88.51,PASS
MTR_0002,49,1972.42,2890.83,0.686,7.82,2.8,9.54,4.16,55.12,51.15,FAIL
MTR_0002,50,1542.03,3172.25,0.252,2.88,4.23,2.19,4.76,99.73,89.9,PASS
MTR_0003,1,1388.59,3322.86,0.284,3.0,4.14,1.21,4.85,99.19,93.16,PASS
MTR_0003,2,1422.89,3051.44,0.317,3.41,4.66,1.68,5.03,98.54,91.93,PASS
MTR_0003,3,1365.74,3021.42,0.377,4.9,3.88,6.61,5.29,93.82,82.16,WARNING
MTR_0003,4,1422.41,3345.99,0.344,3.4,5.0,2.29,4.82,98.16,88.52,PASS
MTR_0003,5,1563.2,3243.21,0.308,2.29,4.58,4.41,4.79,97.4,89.63,PASS
MTR_0003,6,1450.57,3185.55,0.32,1.25,4.98,3.98,4.79,98.79,94.95,PASS
MTR_0003,7,1442.59,3199.74,0.265,1.61,4.87,1.72,5.12,98.0,85.51,PASS
MTR_0003,8,1590.69,3076.88,0.288,2.92,4.2,4.33,4.83,97.16,87.77,PASS
MTR_0003,9,1697.46,2765.36,0.535,9.98,1.65,10.6,5.48,65.37,52.16,FAIL
MTR_0003,10,1520.16,3149.02,0.271,2.57,5.04,4.49,4.97,99.7,88.12,PASS
MTR_0003,11,1385.27,3258.87,0.313,1.4,4.53,2.9,5.09,97.6,86.91,PASS
MTR_0003,12,1397.21,3258.51,0.273,1.86,4.97,4.23,4.89,97.84,91.42,PASS
MTR_0003,13,1960.09,2789.03,0.517,8.31,2.36,11.21,5.62,58.88,50.24,FAIL
MTR_0003,14,1325.59,3383.29,0.354,4.15,3.94,6.06,4.68,94.56,84.81,WARNING
MTR_0003,15,1382.79,3255.36,0.256,1.24,4.55,4.53,4.82,97.6,92.11,PASS
MTR_0003,16,1547.03,3300.01,0.312,2.52,4.28,1.94,4.89,99.23,85.75,PASS
MTR_0003,17,1560.11,3196.41,0.264,0.98,4.26,3.85,5.03,99.34,86.72,PASS
MTR_0003,18,1487.09,3323.12,0.289,1.43,4.51,3.83,5.23,98.0,89.67,PASS
MTR_0003,19,1698.53,2379.35,0.534,8.9,2.45,13.18,5.61,87.39,75.59,FAIL
MTR_0003,20,1547.49,3210.64,0.302,2.7,4.89,2.64,5.02,97.05,88.8,PASS
MTR_0003,21,1517.9,3322.13,0.256,1.35,4.38,4.06,5.17,97.74,92.98,PASS
MTR_0003,22,1550.53,3101.27,0.285,3.05,4.37,3.38,5.11,99.9,89.5,PASS
MTR_0003,23,1582.69,3267.07,0.303,2.21,4.43,4.15,5.2,98.53,86.22,PASS
MTR_0003,24,1330.95,3009.87,0.357,4.57,4.04,6.82,4.67,93.05,82.51,WARNING
MTR_0003,25,1441.28,3203.23,0.271,1.62,5.02,4.31,4.98,99.33,90.83,PASS
MTR_0003,26,1371.94,3385.49,0.346,4.4,4.01,5.92,4.72,93.67,83.51,WARNING
MTR_0003,27,1302.19,2647.16,0.663,9.58,1.94,13.92,3.46,69.48,63.43,FAIL
MTR_0003,28,1575.23,3058.48,0.33,3.03,4.47,2.21,4.98,97.32,91.53,PASS
MTR_0003,29,1530.9,3050.83,0.254,0.75,4.08,1.61,5.09,97.35,89.86,PASS
MTR_0003,30,1465.12,3050.12,0.275,1.32,4.41,1.77,4.78,97.18,89.36,PASS
MTR_0003,31,1462.46,3072.2,0.281,2.86,4.8,4.05,4.84,99.84,91.59,PASS
MTR_0003,32,1380.61,3273.62,0.307,1.11,4.88,2.1,5.15,99.18,94.02,PASS
MTR_0003,33,1489.59,3289.17,0.279,2.02,4.09,3.54,4.83,99.5,92.32,PASS
MTR_0003,34,2021.78,3524.66,0.65,8.58,2.1,14.78,3.43,50.0,55.21,FAIL
MTR_0003,35,1473.83,3064.26,0.285,1.93,4.8,2.12,4.81,97.69,85.34,PASS
MTR_0003,36,1378.03,3376.01,0.372,3.78,3.97,5.74,5.3,92.22,82.29,WARNING
MTR_0003,37,1355.16,3397.21,0.368,4.83,4.05,5.41,5.34,96.08,84.55,WARNING
MTR_0003,38,1345.24,3016.02,0.358,4.02,4.03,6.45,5.29,93.18,83.69,WARNING
MTR_0003,39,1568.38,3155.61,0.283,2.48,5.17,2.25,4.77,99.94,86.41,PASS
MTR_0003,40,1361.84,3029.48,0.362,3.66,3.86,6.06,5.31,96.46,83.38,WARNING
MTR_0003,41,1501.85,3231.09,0.258,1.96,4.06,4.18,5.17,98.26,88.83,PASS
MTR_0003,42,1345.11,3034.5,0.389,3.6,3.92,5.9,4.75,95.02,83.9,WARNING
MTR_0003,43,1513.12,3252.87,0.254,0.76,5.07,4.27,5.11,98.24,86.86,PASS
MTR_0003,44,1399.77,3073.52,0.342,2.97,5.07,4.37,4.78,97.62,92.81,PASS
MTR_0003,45,1579.86,3160.89,0.277,0.92,4.3,4.06,5.17,99.46,89.55,PASS
MTR_0003,46,1424.05,3122.84,0.296,3.16,4.3,4.56,4.98,98.66,89.34,PASS
MTR_0003,47,1541.22,3235.7,0.31,1.65,4.82,3.63,4.87,99.36,87.9,PASS
MTR_0003,48,1437.98,3223.16,0.279,0.51,5.1,3.52,5.12,97.79,93.64,PASS
MTR_0003,49,1325.69,3392.11,0.379,3.92,4.04,6.96,4.68,92.26,83.6,WARNING
MTR_0003,50,1385.0,3146.32,0.254,2.72,4.99,1.6,5.25,98.94,91.45,PASS
MTR_0004,1,1335.46,3379.72,0.362,3.59,4.01,5.29,4.72,95.06,82.55,WARNING
MTR_0004,2,1598.32,3292.25,0.301,2.1,4.43,3.85,5.2,98.95,94.78,PASS
MTR_0004,3,1374.09,3030.12,0.381,4.53,3.92,5.06,4.69,95.51,82.5,WARNING
MTR_0004,4,1516.78,3204.3,0.323,3.25,4.69,4.82,5.04,99.97,89.12,PASS
MTR_0004,5,1372.38,3044.39,0.368,3.54,3.94,6.21,5.31,95.83,84.62,WARNING
MTR_0004,6,1960.43,2497.83,0.586,6.44,2.06,8.33,5.47,72.94,53.47,FAIL
MTR_0004,7,1332.45,3364.49,0.35,3.78,4.04,5.72,5.28,96.97,84.54,WARNING
MTR_0004,8,1374.65,3376.05,0.356,4.48,3.86,6.67,4.72,93.08,84.57,WARNING
MTR_0004,9,1586.03,3150.05,0.263,2.48,4.24,3.75,5.07,99.04,91.08,PASS
MTR_0004,10,1405.62,3140.37,0.261,1.79,4.45,1.06,5.01,99.45,90.19,PASS
MTR_0004,11,1460.18,3165.59,0.283,1.13,4.76,4.51,5.15,97.56,89.72,PASS
MTR_0004,12,1508.81,3240.56,0.344,1.47,4.92,2.95,5.11,98.66,90.04,PASS
MTR_0004,13,1445.04,3100.49,0.251,1.4,4.49,4.82,5.05,97.86,88.8,PASS
MTR_0004,14,1338.78,3378.74,0.36,3.75,4.03,6.43,5.27,94.03,84.51,WARNING
MTR_0004,15,1472.9,3092.13,0.256,2.65,4.67,2.64,4.86,99.6,90.33,PASS
MTR_0004,16,1492.58,3227.89,0.337,1.32,4.89,2.91,4.77,97.54,86.35,PASS
MTR_0004,17,1588.65,3167.24,0.274,2.49,4.28,3.42,5.03,98.55,85.56,PASS
MTR_0004,18,1468.78,3095.54,0.312,2.79,5.02,4.05,4.81,98.13,93.63,PASS
MTR_0004,19,1391.62,3156.53,0.271,0.87,4.4,4.77,4.86,98.96,93.47,PASS
MTR_0004,20,1235.84,2802.07,0.506,6.56,2.83,12.13,4.15,69.13,62.52,FAIL
MTR_0004,21,1346.72,3016.31,0.347,3.99,3.98,6.03,4.65,93.49,82.28,WARNING
MTR_0004,22,1551.48,3157.71,0.264,2.4,4.19,2.52,5.2,99.7,89.16,PASS
MTR_0004,23,1512.55,3119.76,0.272,1.4,4.5,3.06,4.94,98.67,86.92,PASS
MTR_0004,24,1342.55,3376.73,0.366,3.55,3.91,5.05,5.26,93.81,82.9,WARNING
MTR_0004,25,1394.71,3123.37,0.283,2.58,5.18,1.89,5.24,98.96,90.16,PASS
MTR_0004,26,1320.29,3394.76,0.356,5.0,3.86,5.25,5.3,92.51,83.53,WARNING
MTR_0004,27,1393.97,3119.67,0.333,0.95,4.79,3.32,4.86,99.65,89.84,PASS
MTR_0004,28,1586.31,3257.38,0.344,3.06,4.55,3.27,4.82,97.94,92.44,PASS
MTR_0004,29,1380.74,3281.11,0.287,3.26,4.46,4.61,5.08,97.69,85.76,PASS
MTR_0004,30,1475.27,3074.02,0.305,1.68,4.33,2.16,4.86,98.07,91.17,PASS
MTR_0004,31,1432.12,3176.25,0.275,2.56,5.05,3.83,5.07,98.83,92.03,PASS
MTR_0004,32,1422.9,3098.11,0.339,2.08,4.27,2.24,5.01,97.89,85.3,PASS
MTR_0004,33,1367.62,3356.25,0.362,3.98,3.91,5.62,5.32,96.78,83.36,WARNING
MTR_0004,34,1549.78,3126.13,0.332,1.33,4.12,3.06,5.22,99.04,85.28,PASS
MTR_0004,35,1448.72,3214.37,0.253,1.87,4.21,1.01,5.15,99.47,90.71,PASS
MTR_0004,36,1591.01,3126.04,0.307,1.61,4.44,4.46,5.24,98.27,90.02,PASS
MTR_0004,37,1459.73,3076.27,0.316,0.76,4.91,4.66,4.8,99.41,91.36,PASS
MTR_0004,38,1418.66,3093.44,0.335,1.26,4.65,1.61,5.23,98.21,94.46,PASS
MTR_0004,39,1511.82,3236.85,0.338,2.73,4.65,4.57,4.94,98.78,94.79,PASS
MTR_0004,40,1580.4,3109.22,0.262,1.84,4.88,2.7,5.16,97.79,88.43,PASS
MTR_0004,41,904.03,4163.75,0.695,5.85,1.99,13.07,6.49,84.23,53.63,FAIL
MTR_0004,42,1417.1,3173.82,0.318,2.8,5.09,2.15,5.01,98.31,92.12,PASS
MTR_0004,43,1552.88,3286.41,0.295,0.75,4.54,2.01,5.24,97.07,87.14,PASS
MTR_0004,44,1124.77,3701.63,0.594,10.86,2.55,9.24,6.0,67.95,80.22,FAIL
MTR_0004,45,1434.54,3071.67,0.338,2.35,4.94,4.33,4.93,99.24,85.85,PASS
MTR_0004,46,1513.97,3083.26,0.327,2.94,4.06,3.96,4.99,98.42,90.88,PASS
MTR_0004,47,1571.75,3300.11,0.261,2.59,4.87,3.11,5.15,97.71,94.49,PASS
MTR_0004,48,1572.31,3254.34,0.251,2.43,4.8,2.74,5.25,97.55,93.39,PASS
MTR_0004,49,1479.63,3159.51,0.254,2.31,5.15,4.28,4.93,99.44,85.26,PASS
MTR_0004,50,1203.47,2521.82,0.601,10.86,1.57,8.61,5.55,60.73,47.45,FAIL
MTR_0005,1,1076.3,3405.8,0.556,10.37,3.04,11.36,4.24,85.78,76.39,FAIL
MTR_0005,2,1472.37,3178.19,0.305,2.86,4.58,4.74,4.77,97.22,91.87,PASS
MTR_0005,3,1440.62,3148.55,0.339,1.61,4.86,1.95,5.21,98.81,85.28,PASS
MTR_0005,4,1359.75,3012.58,0.363,4.09,4.05,5.75,5.25,92.39,83.85,WARNING
MTR_0005,5,1342.39,3015.41,0.369,4.88,3.96,5.15,5.28,94.51,82.59,WARNING
MTR_0005,6,1334.07,3023.89,0.348,4.32,3.93,5.67,4.74,95.28,82.16,WARNING
MTR_0005,7,1409.4,3221.0,0.335,3.48,4.73,2.01,4.95,98.98,92.68,PASS
MTR_0005,8,1427.75,3185.52,0.329,2.54,4.69,3.43,4.99,97.5,94.75,PASS
MTR_0005,9,1535.04,3283.46,0.304,1.8,5.02,2.9,4.97,98.28,87.03,PASS
MTR_0005,10,1283.42,2959.7,0.588,10.24,3.77,14.37,5.59,75.33,58.27,FAIL
MTR_0005,11,1457.91,3314.67,0.305,0.76,5.1,2.85,4.83,99.43,93.03,PASS
MTR_0005,12,1576.35,3185.95,0.276,1.45,4.34,1.11,5.13,97.62,90.94,PASS
MTR_0005,13,1538.42,3271.57,0.291,1.92,5.1,4.88,4.83,98.71,88.54,PASS
MTR_0005,14,1345.16,3392.98,0.363,4.09,4.04,5.55,5.32,92.21,83.57,WARNING
MTR_0005,15,1471.14,3312.68,0.282,0.8,5.04,3.31,4.97,97.4,90.33,PASS
MTR_0005,16,1438.79,3124.62,0.269,0.77,5.15,2.96,5.09,98.28,87.77,PASS
MTR_0005,17,1441.41,3114.06,0.274,1.51,4.39,2.88,4.78,99.26,94.52,PASS
MTR_0005,18,1509.55,3278.3,0.337,0.99,5.14,2.8,5.25,97.83,89.48,PASS
MTR_0005,19,1515.51,3094.34,0.287,1.11,5.01,4.41,4.9,99.85,91.68,PASS
MTR_0005,20,1400.56,3304.35,0.324,1.48,4.36,2.76,4.88,98.73,91.63,PASS
MTR_0005,21,1371.3,3039.15,0.371,3.8,3.87,5.41,4.73,96.98,82.37,WARNING
MTR_0005,22,2030.71,2811.64,0.503,6.42,1.51,13.54,4.09,64.3,47.68,FAIL
MTR_0005,23,1539.76,3205.73,0.309,2.42,4.49,4.29,5.25,98.11,91.87,PASS
MTR_0005,24,1330.41,3046.07,0.36,3.81,4.02,6.77,4.75,93.76,83.22,WARNING
MTR_0005,25,1001.58,2507.54,0.44,5.8,3.37,13.25,3.59,75.64,70.99,FAIL
MTR_0005,26,1689.06,2399.92,0.576,8.29,3.0,13.46,3.89,83.45,50.39,FAIL
MTR_0005,27,1593.73,3313.11,0.33,2.9,4.53,2.61,4.87,98.54,92.03,PASS
MTR_0005,28,1338.2,3381.81,0.374,3.95,4.02,5.74,5.35,92.31,83.06,WARNING
MTR_0005,29,1465.97,3130.81,0.331,1.67,4.24,2.2,5.22,99.26,86.07,PASS
MTR_0005,30,1519.41,3334.48,0.298,0.55,4.07,4.0,5.05,98.65,93.23,PASS
MTR_0005,31,1459.61,3346.4,0.334,0.92,5.02,2.51,4.87,98.19,92.57,PASS
MTR_0005,32,1576.24,3095.25,0.274,0.8,4.6,1.09,4.77,97.68,94.78,PASS
MTR_0005,33,1516.23,3053.23,0.312,1.67,4.53,1.31,5.21,97.22,90.47,PASS
MTR_0005,34,1461.69,3179.28,0.289,0.61,4.72,4.7,5.24,99.01,93.43,PASS
MTR_0005,35,1438.14,3142.89,0.317,1.28,4.48,1.85,4.98,98.73,91.38,PASS
MTR_0005,36,1329.6,3043.76,0.372,4.22,3.98,5.04,5.3,96.2,84.08,WARNING
MTR_0005,37,1379.05,3352.12,0.375,4.28,3.89,6.3,5.28,96.56,83.33,WARNING
MTR_0005,38,1455.08,3164.43,0.298,2.46,4.82,1.94,4.97,98.51,93.92,PASS
MTR_0005,39,1457.52,3227.04,0.278,1.72,4.41,4.27,5.13,99.33,92.55,PASS
MTR_0005,40,1455.09,3178.76,0.273,3.02,4.25,3.87,4.84,99.71,91.2,PASS
MTR_0005,41,1468.12,3190.42,0.307,2.2,4.89,3.37,5.09,97.4,86.79,PASS
MTR_0005,42,1588.39,3343.59,0.303,1.75,4.64,4.68,4.85,98.82,93.85,PASS
MTR_0005,43,1441.82,3071.21,0.297,1.11,4.06,4.67,4.94,99.77,91.88,PASS
MTR_0005,44,1534.58,3340.55,0.339,1.29,5.09,1.72,5.13,98.66,94.15,PASS
MTR_0005,45,1545.35,3319.48,0.31,2.27,4.89,4.77,4.86,99.16,87.58,PASS
MTR_0005,46,1474.64,3314.9,0.265,1.42,4.46,2.23,5.19,99.21,91.46,PASS
MTR_0005,47,1329.61,3398.93,0.378,4.78,3.93,6.74,5.3,93.1,83.43,WARNING
MTR_0005,48,1395.99,3202.34,0.293,2.63,4.39,1.76,5.19,98.93,90.84,PASS
MTR_0005,49,1448.86,3111.54,0.316,3.3,4.17,3.12,4.92,98.31,93.6,PASS
MTR_0005,50,1574.46,3285.02,0.323,0.98,5.07,2.13,4.88,98.27,90.22,PASS
MTR_0006,1,1426.5,3265.67,0.338,1.58,4.88,3.41,5.18,99.08,93.57,PASS
MTR_0006,2,1571.12,3195.42,0.307,1.38,4.94,2.39,5.09,98.61,93.97,PASS
MTR_0006,3,1544.9,3124.48,0.315,1.22,4.4,1.32,4.93,99.08,91.05,PASS
MTR_0006,4,1356.81,3048.47,0.365,4.61,3.98,5.26,4.74,96.02,82.72,WARNING
MTR_0006,5,1510.61,3301.41,0.258,1.44,4.43,2.8,4.8,99.85,87.5,PASS
MTR_0006,6,1450.28,3155.35,0.252,0.99,4.24,4.37,5.19,99.93,86.17,PASS
MTR_0006,7,1265.5,3413.4,0.486,6.13,1.58,10.03,6.23,77.26,59.26,FAIL
MTR_0006,8,1388.37,3068.42,0.258,1.67,4.47,4.44,4.95,98.1,93.24,PASS
MTR_0006,9,1440.53,3317.9,0.333,2.53,4.63,2.65,5.2,99.14,92.99,PASS
MTR_0006,10,1391.7,3328.96,0.274,0.82,4.82,3.92,4.99,99.41,94.08,PASS
MTR_0006,11,1571.37,3193.12,0.297,2.38,4.09,4.33,4.96,97.07,91.34,PASS
MTR_0006,12,1531.37,3317.97,0.335,3.13,5.1,4.13,4.93,99.97,88.41,PASS
MTR_0006,13,1552.41,3295.37,0.284,2.61,4.64,4.13,5.2,99.83,85.75,PASS
MTR_0006,14,1934.17,2593.74,0.537,10.63,3.15,8.68,4.31,86.03,72.5,FAIL
MTR_0006,15,1382.9,3208.09,0.287,3.28,4.22,4.59,5.0,98.45,86.84,PASS
MTR_0006,16,1360.87,3021.67,0.353,4.08,3.91,6.9,5.27,95.28,83.32,WARNING
MTR_0006,17,1638.48,2462.62,0.471,9.02,3.15,10.04,3.23,83.8,72.37,FAIL
MTR_0006,18,1546.41,3320.88,0.26,1.28,4.24,2.45,4.88,99.91,95.0,PASS
